wavenumber;PC1
1512,157;0,048029545
1510,228;0,046858337
1508,3;0,045440622
1506,371;0,042541631
1504,442;0,039296886
1502,513;0,037124994
1500,585;0,035226387
1498,656;0,033232886
1496,727;0,031039947
1494,798;0,028899871
1492,869;0,027062176
1490,941;0,025013877
1489,012;0,022379295
1487,083;0,019650589
1485,154;0,017438018
1483,226;0,015758517
1481,297;0,014356045
1479,368;0,013287761
1477,439;0,012696162
1475,511;0,012494878
1473,582;0,0124217
1471,653;0,012631444
1469,724;0,013757653
1467,795;0,015041289
1465,867;0,01561945
1463,938;0,015392171
1462,009;0,015322299
1460,08;0,015789928
1458,152;0,01649678
1456,223;0,016960331
1454,294;0,017247468
1452,365;0,017472474
1450,436;0,017787897
1448,508;0,018080552
1446,579;0,01810068
1444,65;0,017883815
1442,721;0,017513365
1440,793;0,017074901
1438,864;0,016519687
1436,935;0,015255066
1435,006;0,01330375
1433,078;0,011529163
1431,149;0,009768659
1429,22;0,007829306
1427,291;0,006113489
1425,362;0,004785466
1423,434;0,003801373
1421,505;0,003164337
1419,576;0,002486673
1417,647;0,001568193
1415,719;0,000805832
1413,79;0,000108902
1411,861;-0,000642242
1409,932;-0,001374141
1408,004;-0,00202069
1406,075;-0,002589851
1404,146;-0,002960684
1402,217;-0,002900629
1400,288;-0,002487914
1398,36;-0,001926663
1396,431;-0,001352923
1394,502;-0,000823454
1392,573;-0,000371842
1390,645;0,000126032
1388,716;0,000829022
1386,787;0,001741155
1384,858;0,002662922
1382,929;0,003426265
1381,001;0,003938641
1379,072;0,004126533
1377,143;0,004038262
1375,214;0,003712069
1373,286;0,003235416
1371,357;0,002816367
1369,428;0,002409527
1367,499;0,001886557
1365,571;0,001299338
1363,642;0,000599265
1361,713;-0,000313698
1359,784;-0,001249915
1357,855;-0,002067633
1355,927;-0,002912178
1353,998;-0,003859059
1352,069;-0,0048382
1350,14;-0,005801807
1348,212;-0,006720406
1346,283;-0,007549935
1344,354;-0,008181937
1342,425;-0,00851333
1340,496;-0,008600255
1338,568;-0,008611863
1336,639;-0,008528445
1334,71;-0,008125831
1332,781;-0,007322579
1330,853;-0,006225092
1328,924;-0,004988342
1326,995;-0,003614284
1325,066;-0,00193194
1323,138;0,000140399
1321,209;0,002480775
1319,28;0,004764578
1317,351;0,006267988
1315,422;0,006334537
1313,494;0,005041131
1311,565;0,003051814
1309,636;0,001155693
1307,707;-0,000243302
1305,779;-0,001172185
1303,85;-0,001814167
1301,921;-0,002289666
1299,992;-0,002581856
1298,064;-0,002634743
1296,135;-0,002447894
1294,206;-0,002082488
1292,277;-0,001597601
1290,348;-0,000994203
1288,42;-0,000292063
1286,491;0,000416536
1284,562;0,001012251
1282,633;0,001415516
1280,705;0,001633611
1278,776;0,001742667
1276,847;0,001830798
1274,918;0,001972143
1272,989;0,00218354
1271,061;0,002409941
1269,132;0,002621467
1267,203;0,002808046
1265,274;0,002941397
1263,346;0,00304195
1261,417;0,003175781
1259,488;0,003429763
1257,559;0,003884143
1255,631;0,00453878
1253,702;0,005300295
1251,773;0,006072945
1249,844;0,0068393
1247,915;0,00755894
1245,987;0,008062412
1244,058;0,008223145
1242,129;0,008126517
1240,2;0,007919922
1238,272;0,007658254
1236,343;0,007308022
1234,414;0,006764951
1232,485;0,005976126
1230,556;0,005053728
1228,628;0,004157622
1226,699;0,003404135
1224,77;0,002855097
1222,841;0,002397568
1220,913;0,001886945
1218,984;0,001381832
1217,055;0,000948665
1215,126;0,000516369
1213,198;2,51E-05
1211,269;-0,00045326
1209,34;-0,000834675
1207,411;-0,001209195
1205,482;-0,001671207
1203,554;-0,002195605
1201,625;-0,00276708
1199,696;-0,003328004
1197,767;-0,003800562
1195,839;-0,004209807
1193,91;-0,004604923
1191,981;-0,004994288
1190,052;-0,005320956
1188,124;-0,005438926
1186,195;-0,005231097
1184,266;-0,004717431
1182,337;-0,003930359
1180,408;-0,00283151
1178,48;-0,001457249
1176,551;8,40E-05
1174,622;0,001705419
1172,693;0,003308104
1170,765;0,004819038
1168,836;0,006141327
1166,907;0,007079764
1164,978;0,007519638
1163,049;0,007553254
1161,121;0,007275053
1159,192;0,006592243
1157,263;0,005437485
1155,334;0,003966646
1153,406;0,002427743
1151,477;0,00106177
1149,548;3,37E-05
1147,619;-0,00077142
1145,691;-0,001648125
1143,762;-0,002591592
1141,833;-0,00336969
1139,904;-0,003997215
1137,975;-0,00456187
1136,047;-0,004960157
1134,118;-0,005120489
1132,189;-0,005124161
1130,26;-0,005080615
1128,332;-0,00506337
1126,403;-0,005124055
1124,474;-0,005231508
1122,545;-0,005318058
1120,616;-0,005393932
1118,688;-0,005483941
1116,759;-0,005647549
1114,83;-0,006017375
1112,901;-0,006712926
1110,973;-0,007732407
1109,044;-0,008912669
1107,115;-0,010113166
1105,186;-0,011263916
1103,258;-0,012292492
1101,329;-0,01319531
1099,4;-0,013994203
1097,471;-0,014695393
1095,542;-0,015403195
1093,614;-0,016378595
1091,685;-0,017875425
1089,756;-0,019877332
1087,827;-0,022132062
1085,899;-0,024524008
1083,97;-0,027104853
